trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.080459606749532439}",30,11,11.486224920774353,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.079261719264731592}",20,10,-44.790303506443045,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.078081666001153169}",25,1,26.157043419720818,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.076919181441834503}",25,8,26.711016266204215,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.075774004022845481}",20,12,2.3914163762812883,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.07464587607443561}",25,0,35.845020953997455,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.073534543763057097}",25,14,20.305432101036264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.072439757034251456}",30,3,42.84003316577178,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.071361269556386081}",20,0,-20.957423112392263,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.070298838665228472}",25,13,18.880564969108793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.069252225309345994}",25,7,32.98498391591125,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.068221193996318125}",20,8,20.193549315949117,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.067205512739749784}",30,6,37.24246245067708,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.066204953007073242}",20,13,13.857963057184474,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.065219289668127525}",30,8,39.50365860195166,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.064248300944503081}",25,0,4.226898123563903,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.063291768359640732}",30,22,14.787853553326634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.06234947668967343}",20,10,18.888510520164726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.061421213915000127}",20,2,23.151438332127576,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.060506771172580416}",25,13,23.731709864955803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.059605942708939368}",30,16,18.61105625505467,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.058718525833872284}",25,0,18.923621247541544,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.057844320874838456}",20,4,27.845495971633444,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.056983131132034057}",20,0,-76.05276151474455,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
192,False,"{'a': 0.5, 'e': 0.056134762834133725}",30,8,38.47489554421426,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.055299025094691381}",25,18,13.585245159331665,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.05447572986918988}",25,7,-55.91115000964748,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
195,False,"{'a': 0.5, 'e': 0.053664691912730135}",20,0,31.250048722688586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.052865728738350368}",20,8,13.024496020063932,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.052078660575965691}",20,14,12.717949121874536,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.051303310331919136}",20,10,-10.484400209371234,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.050539503549134696}",25,10,26.26523539403784,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,6,23.736926226274903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,24.5546724386209,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,20.854591098134883,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,9.929076090090227,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,11,14.40498630145767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,3,46.841914287351926,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-1.618479232392784,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,12,24.25946204412237,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,17,29.070674936186855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,19.68814488452679,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,17.32292096861485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,3,27.56809406124088,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,10,17.59073479335632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,20,6.764409741014957,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,5,31.47310109071214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,4,23.540483713221068,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,14,17.431892727659342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,31.840471643880306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,15,-23.9539035746266,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,True,"{'a': 0, 'e': 0}",25,17,17.216796295791653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,3,33.78412048042314,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
