trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,True,"{'a': 0, 'e': 0}",30,10,35.58388696486435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",25,13,-20.143553821247636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,True,"{'a': 0, 'e': 0}",20,0,15.529085987480194,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
62,True,"{'a': 0, 'e': 0}",25,3,-3.5844460860915373,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,True,"{'a': 0, 'e': 0}",30,13,30.190484330539746,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",20,12,14.415911599275532,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",30,20,16.457162334867192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",20,10,18.853309385529222,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",25,15,18.197931511887095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",20,0,33.57666200197743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,True,"{'a': 0, 'e': 0}",25,7,3.9711700402030177,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",20,9,22.919289755231937,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",25,19,10.494650081715438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",30,13,33.941367015553965,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",35,21,11.732284024285939,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",30,22,15.537348441567701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",30,20,20.07967477584863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,16,7.762257112183169,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",30,0,43.323368755412744,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,True,"{'a': 0, 'e': 0}",20,0,28.06390904888626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0, 'e': 0}",25,11,-21.646986614324202,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,True,"{'a': 0, 'e': 0}",30,22,14.147101440824706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",30,18,21.95513142265184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,0,30.173432446455312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,True,"{'a': 0, 'e': 0}",25,10,29.394558544796006,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,10,18.660741841574602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",20,12,10.645019391391685,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",25,12,21.677242730726594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",20,12,10.881825165546902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,0,-14.095320447646383,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
89,True,"{'a': 0, 'e': 0}",25,14,21.00474399908959,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,10,18.39854812455496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",25,1,37.72633802292582,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",20,13,11.56499890867395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,15,10.383488844267458,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",20,15,9.043212852576971,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",30,7,22.300259168128726,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",25,8,24.88163642789512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",30,5,40.52905674568696,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",25,14,22.701688998428097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,2,-14.285858226712037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,True,"{'a': 0, 'e': 0}",20,11,14.901527369213206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
